OBJECTID,Fire80_Raster,X,Y,asp2,twi,tmaxjuly_2,tmax,soilmois,slope,ndvi,lulc,lake,evt_aug,elevation,road,river,pcp
8529,0,-1195730.124,2010166.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8530,0,-1194230.124,2009466.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8531,0,-1175930.124,2020666.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8532,0,-1104930.124,2011766.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8533,0,-1093630.124,2022866.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8534,0,-1101930.124,2016666.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8535,0,-817630.1237,2010566.106,5,-6,3,1,2,3,2,3,4,2,3,3,3,1
8536,0,-785730.1237,2012766.106,2,-6,2,1,2,4,2,8,4,1,3,3,4,1
8537,0,-697430.1237,2018966.106,4,-6,3,1,1,2,2,8,4,2,3,3,4,1
8538,0,-602230.1237,2007866.106,4,-46,3,1,1,2,2,8,4,2,3,3,3,1
8539,0,-452630.1237,2012066.106,1,-46,3,1,1,1,2,3,4,2,2,4,5,1
8540,0,-459330.1237,2010966.106,3,-6,3,1,1,2,2,3,4,2,2,4,5,1
8541,0,-211630.1237,2019166.106,5,-6,2,1,1,3,2,8,4,2,1,4,5,1
8542,0,-194430.1237,2021866.106,5,129,2,1,1,2,1,8,4,2,1,4,5,1
8543,0,-184030.1237,2013866.106,3,129,2,1,1,3,1,8,4,2,1,4,5,1
8544,0,-163830.1237,2013066.106,2,-46,2,1,1,2,1,8,4,2,1,4,5,1
8545,0,-161430.1237,2020466.106,4,129,2,1,1,2,1,8,4,2,1,4,5,1
8546,0,-140030.1237,2021066.106,3,129,1,1,1,2,1,11,4,2,1,4,5,1
8547,0,-119330.1237,2019266.106,5,-46,2,1,1,2,2,8,4,2,1,4,5,1
8548,0,-126030.1237,2017466.106,2,129,2,1,1,2,1,8,4,2,1,4,5,1
8549,0,-110530.1237,2022666.106,5,129,2,1,1,3,1,8,4,2,1,4,5,1
8550,0,-100530.1237,2008266.106,5,129,2,1,1,2,1,8,4,2,1,4,4,1
8551,0,-86130.12372,2019266.106,2,129,2,1,1,2,1,8,4,2,1,4,4,1
8552,0,-86230.12372,2010466.106,5,-6,2,1,1,2,1,8,4,2,1,4,4,1
8553,0,-66330.12372,2022766.106,3,-46,2,1,1,2,1,8,4,2,1,4,4,1
8554,0,-64630.12372,2010266.106,3,-46,2,1,1,2,1,8,4,2,1,4,4,1
8555,0,19069.87628,2019766.106,5,129,2,1,2,4,1,8,4,2,2,4,3,1
8556,0,4869.876281,2018566.106,5,-46,2,1,1,2,1,8,4,2,2,4,3,1
8557,0,20969.87628,2012066.106,4,-219,2,1,2,4,1,3,4,1,2,4,1,1
8558,0,259969.8763,2018766.106,3,-219,1,1,1,4,1,8,4,1,3,4,5,1
8559,0,303869.8763,2015766.106,5,129,1,1,1,3,1,8,4,1,2,4,5,1
8560,0,294769.8763,2014466.106,3,143,1,1,2,3,1,8,4,1,2,4,5,1
8561,0,342769.8763,2017766.106,2,-46,1,1,2,2,1,8,4,1,1,4,4,1
8562,0,374569.8763,2021866.106,5,143,1,1,2,3,1,8,5,1,2,4,4,1
8563,0,378069.8763,2013866.106,2,-219,1,1,2,4,1,8,5,1,2,4,4,1
8564,0,436269.8763,2014266.106,3,129,1,1,2,2,1,8,5,1,2,4,4,1
8565,0,444769.8763,2007866.106,2,-219,1,1,2,4,1,8,5,1,2,4,4,1
8566,0,448969.8763,2016066.106,5,129,1,1,2,4,1,8,5,1,2,4,4,1
8567,0,457869.8763,2013966.106,3,129,1,1,2,3,1,8,5,1,2,4,4,1
